Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,300000,1984,10,-12.8,Y
IDCJAC0002,300000,1984,11,-3.3,Y
IDCJAC0002,300000,1984,12,3.7,Y
IDCJAC0002,300000,1985,01,3.7,Y
IDCJAC0002,300000,1985,02,-1.5,Y
IDCJAC0002,300000,1985,03,-4.7,Y
IDCJAC0002,300000,1985,04,-8.7,Y
IDCJAC0002,300000,1985,05,-12.6,Y
IDCJAC0002,300000,1985,06,-10.7,Y
IDCJAC0002,300000,1985,07,-22.3,Y
IDCJAC0002,300000,1985,08,-14.8,Y
IDCJAC0002,300000,1985,09,-14.0,Y
IDCJAC0002,300000,1985,10,-9.8,Y
IDCJAC0002,300000,1985,11,-3.5,Y
IDCJAC0002,300000,1985,12,1.1,Y
IDCJAC0002,300000,1986,01,2.6,Y
IDCJAC0002,300000,1986,02,3.7,Y
IDCJAC0002,300000,1986,03,-4.4,Y
IDCJAC0002,300000,1986,04,-9.3,Y
IDCJAC0002,300000,1986,05,-9.4,Y
IDCJAC0002,300000,1986,06,-15.1,Y
IDCJAC0002,300000,1986,07,-14.8,Y
IDCJAC0002,300000,1986,08,-15.1,Y
IDCJAC0002,300000,1986,09,-11.6,Y
IDCJAC0002,300000,1986,10,-8.3,Y
IDCJAC0002,300000,1986,11,-3.1,Y
IDCJAC0002,300000,1986,12,1.6,Y
IDCJAC0002,300000,1987,01,3.5,Y
IDCJAC0002,300000,1987,02,-0.2,Y
IDCJAC0002,300000,1987,03,-6.3,Y
IDCJAC0002,300000,1987,04,-10.9,Y
IDCJAC0002,300000,1987,05,-15.0,Y
IDCJAC0002,300000,1987,06,-11.5,Y
IDCJAC0002,300000,1987,07,-10.6,Y
IDCJAC0002,300000,1987,08,-16.1,Y
IDCJAC0002,300000,1987,09,-15.6,Y
IDCJAC0002,300000,1987,10,-8.7,Y
IDCJAC0002,300000,1987,11,-2.2,Y
IDCJAC0002,300000,1987,12,2.9,Y
IDCJAC0002,300000,1988,01,3.4,Y
IDCJAC0002,300000,1988,02,-1.1,Y
IDCJAC0002,300000,1988,03,-3.4,Y
IDCJAC0002,300000,1988,04,-9.2,Y
IDCJAC0002,300000,1988,05,-8.0,Y
IDCJAC0002,300000,1988,06,-9.6,Y
IDCJAC0002,300000,1988,07,-15.5,Y
IDCJAC0002,300000,1988,08,-11.9,Y
IDCJAC0002,300000,1988,09,-10.7,Y
IDCJAC0002,300000,1988,10,-6.0,Y
IDCJAC0002,300000,1988,11,-3.5,Y
IDCJAC0002,300000,1988,12,0.5,Y
IDCJAC0002,300000,1989,01,3.2,Y
IDCJAC0002,300000,1989,02,-0.7,Y
IDCJAC0002,300000,1989,03,-8.2,Y
IDCJAC0002,300000,1989,04,-12.6,Y
IDCJAC0002,300000,1989,05,-15.6,Y
IDCJAC0002,300000,1989,06,-11.4,Y
IDCJAC0002,300000,1989,07,-14.8,Y
IDCJAC0002,300000,1989,08,-10.1,Y
IDCJAC0002,300000,1989,09,-7.9,Y
IDCJAC0002,300000,1989,10,-5.7,Y
IDCJAC0002,300000,1989,11,-4.7,Y
IDCJAC0002,300000,1989,12,4.0,Y
IDCJAC0002,300000,1990,01,3.9,Y
IDCJAC0002,300000,1990,02,-0.7,Y
IDCJAC0002,300000,1990,03,-6.2,Y
IDCJAC0002,300000,1990,04,-5.7,Y
IDCJAC0002,300000,1990,05,-9.9,Y
IDCJAC0002,300000,1990,06,-12.9,Y
IDCJAC0002,300000,1990,07,-13.5,Y
IDCJAC0002,300000,1990,08,-12.8,Y
IDCJAC0002,300000,1990,09,-13.9,Y
IDCJAC0002,300000,1990,10,-9.2,Y
IDCJAC0002,300000,1990,11,-1.5,Y
IDCJAC0002,300000,1990,12,3.2,Y
IDCJAC0002,300000,1991,01,1.7,Y
IDCJAC0002,300000,1991,02,0.8,Y
IDCJAC0002,300000,1991,03,-4.0,Y
IDCJAC0002,300000,1991,04,-6.1,Y
IDCJAC0002,300000,1991,05,-11.8,Y
IDCJAC0002,300000,1991,06,-8.2,Y
IDCJAC0002,300000,1991,07,-8.2,Y
IDCJAC0002,300000,1991,08,-11.9,Y
IDCJAC0002,300000,1991,09,-14.1,Y
IDCJAC0002,300000,1991,10,-8.4,Y
IDCJAC0002,300000,1991,11,-1.8,Y
IDCJAC0002,300000,1991,12,5.5,Y
IDCJAC0002,300000,1992,01,3.7,Y
IDCJAC0002,300000,1992,02,1.6,Y
IDCJAC0002,300000,1992,03,-5.0,Y
IDCJAC0002,300000,1992,04,-14.6,Y
IDCJAC0002,300000,1992,05,-14.7,Y
IDCJAC0002,300000,1992,06,-13.4,Y
IDCJAC0002,300000,1992,07,-17.0,Y
IDCJAC0002,300000,1992,08,-15.2,Y
IDCJAC0002,300000,1992,09,-16.5,Y
IDCJAC0002,300000,1992,10,-8.4,Y
IDCJAC0002,300000,1992,11,-2.4,Y
IDCJAC0002,300000,1992,12,0.5,Y
IDCJAC0002,300000,1993,01,4.0,Y
IDCJAC0002,300000,1993,02,0.0,Y
IDCJAC0002,300000,1993,03,-5.6,Y
